,년도,분기,호선명,지하철역,시간대_00~06_승차_인원,시간대_06~11_승차_인원,시간대_11~14_승차_인원,시간대_14~17_승차_인원,시간대_17~21_승차_인원,시간대_21~24_승차_인원,시간대_00~06_하차_인원,시간대_06~11_하차_인원,시간대_11~14_하차_인원,시간대_14~17_하차_인원,시간대_17~21_하차_인원,시간대_21~24_하차_인원
11524,2020,1,1호선,동대문,43167,211027,174756,212920,199969,106452,15567,240393,210976,196743,191947,115886
11525,2020,1,1호선,동묘앞,10152,90848,140875,246115,182255,42425,7924,180061,217466,207708,86561,40325
11526,2020,1,1호선,서울역,34854,566405,540972,625884,1258620,537393,30883,1485637,505145,510666,578090,262784
11527,2020,1,1호선,시청,7042,114884,163743,313742,784540,325997,12980,1078546,272608,201167,139168,47242
11528,2020,1,1호선,신설동,29123,243915,167966,200294,360232,114065,12075,430028,156202,164410,204490,108949
11529,2020,1,1호선,제기동,14465,280581,289358,392873,304255,90156,9950,391523,380120,331713,198403,86877
11530,2020,1,1호선,종각,16218,129015,276515,517601,1248409,704051,16030,1639274,437554,340341,362166,78086
11531,2020,1,1호선,종로3가,18042,134276,371763,555880,727494,402246,12224,749853,573909,433300,297635,66909
11532,2020,1,1호선,종로5가,6553,121963,283627,449179,678229,241936,11920,802778,405802,323222,203182,49357
11533,2020,1,1호선,청량리(서울시립대입구),33768,473065,312357,405289,340067,125759,22765,342639,367788,390864,378774,171293
11534,2020,1,2호선,강남,91960,672853,818646,1285919,2365122,1742672,60595,3046672,1165979,1083510,1480319,476264
11535,2020,1,2호선,강변(동서울터미널),28977,1065488,484003,463798,527111,290590,28741,508183,383120,526466,863566,462931
11536,2020,1,2호선,건대입구,77277,760295,329037,427318,638450,625884,41652,528456,430360,568788,1082336,518268
11537,2020,1,2호선,교대(법원.검찰청),20471,367431,311004,478971,886106,459894,32465,1249630,464242,422397,508368,195907
11538,2020,1,2호선,구로디지털단지,118947,1580961,537014,578473,1334242,506254,60107,1600908,437582,569726,1172163,743068
11539,2020,1,2호선,구의(광진구청),40003,861501,250620,235655,289441,148848,26078,304620,182678,267823,597620,357247
11540,2020,1,2호선,낙성대,25389,693228,226053,213703,254231,124501,24581,246830,156869,211768,466937,322195
11541,2020,1,2호선,낙성대(강감찬),11904,291767,77679,77401,98282,47410,9140,94545,52731,77636,203795,125472
11542,2020,1,2호선,당산,21155,493567,188399,201090,393389,175182,22591,527914,172640,212563,467231,260146
11543,2020,1,2호선,대림(구로구청),94138,821985,273493,275672,373927,140732,29453,435639,254466,317106,532860,391480
11544,2020,1,2호선,도림천,1061,28994,14045,16651,23236,5787,1776,36159,11662,12660,19666,11224
11545,2020,1,2호선,동대문역사문화공원,23068,95316,112773,171566,260930,142892,8621,282151,162478,161082,193269,116205
11546,2020,1,2호선,동대문역사문화공원(DDP),9316,30816,28246,47695,88952,43065,2764,110315,46621,40664,51695,26328
11547,2020,1,2호선,뚝섬,14042,251595,144361,227131,610629,219801,13153,766804,199588,207267,269008,111875
11548,2020,1,2호선,문래,13822,386872,165448,210510,534732,193444,15505,689665,166513,177050,325467,157225
11549,2020,1,2호선,방배,12434,300561,167219,214353,392819,164474,19935,502121,163599,179550,266994,152049
11550,2020,1,2호선,봉천,43614,953431,273342,242730,250593,120977,28123,238714,185597,278242,589921,368342
11551,2020,1,2호선,사당,56640,864179,385261,451415,650127,506553,46751,642566,382385,514047,1073248,536313
11552,2020,1,2호선,삼성(무역센터),24095,251614,338160,696957,1801294,837953,31333,2327551,613042,503249,453484,135202
11553,2020,1,2호선,상왕십리,17133,452485,151822,146175,195542,84625,14542,226333,105902,142444,312843,174852
11554,2020,1,2호선,서울대입구(관악구청),104762,1520582,528625,552630,661950,414711,75845,596502,434612,565233,1201830,721914
11555,2020,1,2호선,서초,6385,235310,210525,299343,610650,228516,18059,892448,221586,188255,178654,78534
11556,2020,1,2호선,선릉,29800,351327,429318,795272,1722848,714814,32970,2128036,500731,415161,407602,164045
11557,2020,1,2호선,성수,20315,307688,213491,332638,1098603,367385,29651,1466268,283146,296638,344728,139171
11558,2020,1,2호선,시청,7715,108441,183093,286025,909639,300457,7287,1206005,194422,168457,132851,48526
11559,2020,1,2호선,신답,2939,68444,15820,14299,14290,4666,1717,14996,10999,19924,56169,26204
11560,2020,1,2호선,신당,18851,350202,158351,185721,244492,113382,14092,278799,159857,189581,304891,156400
11561,2020,1,2호선,신대방,67026,1066979,291669,255583,295418,125834,33722,288785,179684,296720,656109,477376
11562,2020,1,2호선,신도림,112728,1310546,528309,610467,898327,512421,87256,879998,518075,600238,1142157,611947
11563,2020,1,2호선,신림,128206,2517927,703329,649183,714347,441355,91149,603161,464378,737049,1784987,1154412
11564,2020,1,2호선,신설동,3511,48688,48285,70824,90697,23038,3101,110627,57340,50030,41754,20888
11565,2020,1,2호선,신정네거리,22019,348345,105229,98806,100613,37369,13227,110479,72446,112386,265735,138804
11566,2020,1,2호선,신촌,43733,470549,420176,561166,763080,673524,28536,823334,561677,540614,799995,315129
11567,2020,1,2호선,아현,12566,296937,118536,118771,134285,52130,10943,148630,82044,111124,204996,125995
11568,2020,1,2호선,양천구청,13147,264565,79097,66484,63434,21509,11320,74394,49748,76228,189485,107946
11569,2020,1,2호선,역삼,23435,270940,333830,623727,1685991,653169,33450,2487649,515024,412796,414471,157710
11570,2020,1,2호선,영등포구청,19397,428671,204288,249117,547712,214424,21642,698232,201601,216134,360121,177236
