상권_코드,서비스_업종_코드,분기,분기당_매출_금액,분기당_매출_건수
1001496,CS300043,2021-07-01,1713936,34
1001496,CS300032,2021-07-01,1299769388,7232
1001496,CS300031,2021-07-01,11847368805,7370
1001496,CS300028,2021-07-01,325096886,6758
1001496,CS300027,2021-07-01,900990801,17667
1001496,CS300026,2021-07-01,283790895,4252
1001496,CS300024,2021-07-01,7936522897,35195
1001496,CS300022,2021-07-01,22843218917,91181
1001496,CS300021,2021-07-01,2007815573,151546
1001496,CS300018,2021-07-01,2556212035,183054
1001496,CS300017,2021-07-01,2319560351,2052
1001496,CS300016,2021-07-01,818226061,4378
1001496,CS300015,2021-07-01,7104040233,245490
1001496,CS300014,2021-07-01,139482541,298
1001496,CS300011,2021-07-01,51602807750,770254
1001496,CS300010,2021-07-01,11517000000,559230
1001496,CS300004,2021-07-01,652281162,11750
1001496,CS300003,2021-07-01,75659697,6485
1001496,CS300002,2021-07-01,1857458362,329511
1001496,CS300001,2021-07-01,233882072,14283
1001496,CS200030,2021-07-01,70442646,343
1001496,CS200029,2021-07-01,103835408,799
1001496,CS200028,2021-07-01,488956158,7813
1001496,CS200024,2021-07-01,685493314,2063
1001496,CS200007,2021-07-01,780453667,4695
1001496,CS200006,2021-07-01,1562247434,9172
1001496,CS100010,2021-07-01,1587526033,222886
1001496,CS100008,2021-07-01,4351125905,158204
1001496,CS100006,2021-07-01,1335336158,128152
1001496,CS100005,2021-07-01,2967807809,217677
1001496,CS100004,2021-07-01,1918875504,52129
1001496,CS100003,2021-07-01,2507238818,90008
1001496,CS100002,2021-07-01,5594121795,132866
1001496,CS100001,2021-07-01,2590317508,192844
1001495,CS300043,2021-07-01,2636325,35
1001495,CS300035,2021-07-01,228000000,929
1001495,CS300032,2021-07-01,3847627619,11656
1001495,CS300031,2021-07-01,87786251,95
1001495,CS300028,2021-07-01,3410697,59
1001495,CS300026,2021-07-01,1015813853,19666
1001495,CS300024,2021-07-01,9802488,15
1001495,CS300022,2021-07-01,4297722566,31813
1001495,CS300021,2021-07-01,180834806,7864
1001495,CS300020,2021-07-01,754951,7
1001495,CS300019,2021-07-01,2320525435,9533
1001495,CS300018,2021-07-01,5342248258,150541
1001495,CS300017,2021-07-01,2179958805,3812
1001495,CS300016,2021-07-01,616894288,5486
1001495,CS300015,2021-07-01,2174140595,756
1001495,CS300011,2021-07-01,78162055698,519114
1001495,CS300010,2021-07-01,1043643,4
1001495,CS300007,2021-07-01,114000000,1457
1001495,CS300003,2021-07-01,105643614,1212
1001495,CS300002,2021-07-01,13110116289,1835584
1001495,CS300001,2021-07-01,5034506761,561387
1001495,CS200037,2021-07-01,534442938,10887
1001495,CS200036,2021-07-01,269788522,4418
1001495,CS200034,2021-07-01,3847892129,214070
1001495,CS200031,2021-07-01,27540993,1125
1001495,CS200030,2021-07-01,1485388491,19341
1001495,CS200028,2021-07-01,1668387542,12328
1001495,CS200025,2021-07-01,187890083,1068
1001495,CS200024,2021-07-01,516369008,1825
1001495,CS200017,2021-07-01,797729875,17473
1001495,CS200016,2021-07-01,62715160,3636
1001495,CS200008,2021-07-01,279173393,2523
1001495,CS200007,2021-07-01,1475941795,9096
1001495,CS200006,2021-07-01,2335831683,35468
1001495,CS200005,2021-07-01,113370479,479
1001495,CS100010,2021-07-01,6119531130,597229
1001495,CS100009,2021-07-01,3009513163,101656
1001495,CS100008,2021-07-01,5740814620,447269
1001495,CS100007,2021-07-01,355565348,12297
1001495,CS100006,2021-07-01,1825757121,228406
1001495,CS100005,2021-07-01,1926958530,64384
1001495,CS100004,2021-07-01,3051685655,70633
1001495,CS100003,2021-07-01,1242619202,18563
1001495,CS100002,2021-07-01,735937407,27882
1001495,CS100001,2021-07-01,17511150816,408011
1001494,CS300043,2021-07-01,2986245460,91635
1001494,CS300036,2021-07-01,24063000000,99561
1001494,CS300035,2021-07-01,827589890,14818
1001494,CS300033,2021-07-01,139659722,3935
1001494,CS300032,2021-07-01,3518431525,22104
1001494,CS300031,2021-07-01,7185894,195
1001494,CS300029,2021-07-01,1512095184,34414
1001494,CS300028,2021-07-01,58948333,793
1001494,CS300027,2021-07-01,22976896101,169928
1001494,CS300024,2021-07-01,7244889096,82565
1001494,CS300022,2021-07-01,463209454,10324
1001494,CS300021,2021-07-01,28869804117,1072831
1001494,CS300020,2021-07-01,558577318,20052
1001494,CS300019,2021-07-01,7766220944,69312
1001494,CS300018,2021-07-01,7495716954,231485
1001494,CS300017,2021-07-01,13004931542,22961
1001494,CS300016,2021-07-01,84098621,925
1001494,CS300015,2021-07-01,447006375,4707
1001494,CS300014,2021-07-01,13525778656,434836
1001494,CS300011,2021-07-01,8198707893,152576
1001494,CS300010,2021-07-01,858572954,25348
1001494,CS300009,2021-07-01,1002734639,17960
1001494,CS300008,2021-07-01,1073521715,30954
1001494,CS300007,2021-07-01,1154881613,27713
1001494,CS300006,2021-07-01,322150154,11897
1001494,CS300004,2021-07-01,986043637,14825
1001494,CS300003,2021-07-01,1655443590,13309
1001494,CS300002,2021-07-01,4864469084,900735
1001494,CS300001,2021-07-01,4637494817,146891
1001494,CS200037,2021-07-01,193395597,14465
1001494,CS200036,2021-07-01,27407396,72
1001494,CS200034,2021-07-01,812580032,22683
1001494,CS200032,2021-07-01,185670337,663
1001494,CS200030,2021-07-01,263729335,1382
1001494,CS200029,2021-07-01,15498467,191
1001494,CS200028,2021-07-01,499295813,11860
1001494,CS200019,2021-07-01,150613562,30557
1001494,CS200017,2021-07-01,83946363,1869
1001494,CS200016,2021-07-01,469430956,35202
1001494,CS200008,2021-07-01,1753928372,21749
1001494,CS200007,2021-07-01,4804497929,25730
1001494,CS200006,2021-07-01,2676967373,43114
